student_id,cgpa,branch,college_tier,python_skill,dsa_skill,ml_skill,web_dev_skill,coding_score,communication_score,aptitude_score,internships,projects,backlogs,resume_score,skill_score,placed,company_type,job_role,salary_lpa

S0,6.87,Civil,1,1,1,0,0,15.6,4.3,92.0,1,3,0,62.6,2,1,MNC,Software Engineer,63.55

S1,6.52,Civil,2,1,0,0,1,13.9,5.8,62.0,1,6,0,77.5,2,1,MNC,Data Scientist,75.17

S2,5.33,IT,1,1,1,1,0,9.8,8.1,66.4,0,5,1,76.0,3,1,MNC,Software Engineer,80.44

S3,6.04,Civil,3,1,0,1,0,39.5,9.6,83.6,0,6,0,74.3,2,1,MNC,Software Engineer,72.11

S4,6.78,Mechanical,2,0,1,0,1,7.5,9.9,86.3,0,3,0,66.8,2,1,Mid-size,Software Engineer,67.05

S5,9.57,CSE,1,1,0,0,0,66.9,8.0,75.5,0,3,0,45.2,1,1,Startup,Data Scientist,48.75

S6,8.85,IT,3,1,1,0,0,10.8,4.2,78.2,0,4,2,50.1,2,0,None,None,0.0

S7,8.78,Mechanical,1,0,0,0,0,93.0,8.8,78.0,2,4,0,65.6,0,1,Startup,Data Scientist,43.16

S8,6.78,Civil,3,1,0,0,0,35.3,5.8,49.9,1,6,0,63.6,1,1,Startup,Web Developer,47.32

S9,7.59,IT,2,1,0,1,1,25.2,7.0,58.1,0,1,0,60.8,3,1,MNC,Analyst,73.21

S10,8.4,CSE,1,1,0,0,0,8.1,6.2,54.5,2,5,0,74.9,1,1,Startup,Web Developer,40.65

S11,6.6,ECE,2,0,0,0,1,1.7,7.1,53.6,1,4,2,60.3,1,0,None,None,0.0

S12,9.19,IT,1,1,1,0,0,69.6,5.4,50.5,3,4,0,83.6,2,1,Mid-size,Analyst,75.04

S13,6.7,CSE,1,0,1,1,1,78.0,7.9,45.0,0,6,0,84.5,3,1,MNC,Web Developer,92.84

S14,6.53,CSE,2,1,0,1,0,1.8,7.0,50.7,1,3,0,66.7,2,0,None,None,0.0

S15,6.84,ECE,3,0,0,1,0,89.2,7.8,87.7,1,4,0,67.0,1,1,Startup,Analyst,46.64

S16,8.84,CSE,3,0,1,0,0,88.3,8.5,97.2,0,6,2,70.1,1,1,Startup,Web Developer,43.27

S17,9.26,Mechanical,1,0,0,0,1,69.6,7.4,45.8,1,6,0,69.7,1,1,Startup,Web Developer,45.96

S18,5.68,CSE,3,1,1,0,0,25.6,7.7,44.9,0,4,1,64.6,2,0,None,None,0.0

S19,8.98,ECE,3,1,0,0,0,57.8,4.2,67.9,1,5,1,61.2,1,0,None,None,0.0

S20,5.19,Mechanical,2,0,1,0,1,27.2,9.8,67.4,2,4,0,91.4,2,1,MNC,Data Scientist,92.32

S21,5.21,Civil,1,1,0,1,0,18.4,4.5,65.7,1,1,0,45.1,2,1,MNC,Software Engineer,76.08

S22,6.4,Civil,1,1,1,0,1,42.0,5.5,61.4,2,1,0,67.4,3,1,MNC,Analyst,90.61

S23,5.09,CSE,1,1,1,0,0,65.0,4.3,96.9,2,4,0,74.2,2,1,Mid-size,Software Engineer,62.0

S24,5.35,EEE,2,1,0,0,1,57.5,6.3,78.6,1,3,1,65.2,2,1,Mid-size,Web Developer,51.4

S25,6.07,Civil,2,1,0,0,0,65.6,6.3,80.9,0,3,0,40.1,1,1,Startup,Data Scientist,45.65

S26,8.68,ECE,2,1,0,0,1,80.7,9.9,64.8,1,6,0,87.1,2,1,Mid-size,Data Scientist,57.53

S27,7.67,Civil,2,1,0,0,0,5.3,9.8,90.8,1,4,2,73.9,1,1,Startup,Software Engineer,45.08

S28,6.47,Mechanical,3,0,1,1,1,79.0,4.5,69.7,0,2,0,57.4,3,1,MNC,Data Scientist,70.13

S29,8.09,Mechanical,3,0,0,1,0,82.2,8.2,44.9,0,3,0,53.2,1,1,Startup,Data Scientist,44.02

S30,7.96,IT,2,1,1,0,0,70.5,5.5,59.8,1,5,0,71.2,2,1,MNC,Web Developer,70.16

S31,8.73,ECE,3,1,1,0,0,86.9,5.3,97.8,0,5,0,64.8,2,1,Mid-size,Data Scientist,51.69

S32,9.85,Civil,2,1,1,0,0,62.8,7.5,94.1,0,4,2,58.1,2,1,MNC,Software Engineer,73.36

S33,8.23,IT,1,1,0,0,0,26.0,6.7,41.9,0,5,1,56.9,1,0,None,None,0.0

S34,9.55,ECE,2,1,1,1,1,41.8,9.6,92.0,0,1,1,73.6,4,1,MNC,Analyst,89.39

S35,9.15,CSE,1,1,0,0,0,1.4,4.5,81.5,1,5,3,59.1,1,0,None,None,0.0

S36,9.72,Mechanical,3,1,0,0,0,95.4,7.6,53.7,1,2,0,48.9,1,1,Startup,Analyst,48.98

S37,7.6,IT,3,1,1,0,1,40.3,4.8,41.7,2,5,0,92.5,3,1,Mid-size,Web Developer,74.49

S38,8.18,EEE,3,1,0,1,0,45.1,9.5,57.9,1,1,2,60.0,2,1,MNC,Web Developer,72.91

S39,9.9,IT,2,1,0,0,0,7.6,4.8,47.7,0,6,0,51.2,1,1,Startup,Data Scientist,41.93

S40,7.58,IT,3,1,1,0,1,34.5,6.1,41.9,1,5,0,80.4,3,1,MNC,Analyst,82.0

S41,9.0,Civil,3,1,0,1,1,6.1,5.7,88.4,2,5,3,92.5,3,1,MNC,Web Developer,87.4

S42,8.6,Mechanical,2,0,0,0,1,84.4,8.5,41.8,2,6,0,82.9,1,1,Startup,Analyst,44.29

S43,6.61,IT,1,0,0,0,1,59.4,8.1,87.4,1,4,0,65.2,1,1,Startup,Web Developer,42.16

S44,6.42,CSE,1,1,1,0,0,98.7,7.6,54.2,0,6,0,72.7,2,1,MNC,Software Engineer,85.71

S45,9.21,IT,3,0,0,0,1,89.7,7.5,95.0,0,6,0,59.2,1,1,Startup,Data Scientist,52.07

S46,7.86,Civil,2,0,1,0,0,42.5,7.0,54.5,0,2,1,36.9,1,0,None,None,0.0

S47,9.66,Mechanical,1,0,1,0,0,54.9,7.3,52.1,1,4,0,63.7,1,1,Startup,Web Developer,47.02

